DI	UT
10.1002/jlcr.1565	WOS:000263985000003
10.1002/jlcr.679	WOS:000182319500009
10.1002/jrs.2384	WOS:000273622500059
10.1002/maco.201190019	WOS:000292550400001
10.1002/mats.201200045	WOS:000308717700009
10.1002/mds.22543	WOS:000271555700007
10.1002/mds.23141	WOS:000280753200036
10.1002/mrm.10478	WOS:000183271200019
10.1002/nav.1031	WOS:000170463100004
10.1002/pi.908	WOS:000179779600012
10.1002/polb.10764	WOS:000188196800020
10.1002/prot.22477	WOS:000270849900013
10.1002/prot.24107	WOS:000306962300004
10.1002/pssa.200303457	WOS:000187234600041
10.1002/pssa.200306264	WOS:000180796700015
10.1002/pssa.201100529	WOS:000303386900012
10.1002/pssa.201100531	WOS:000303386900014
10.1002/pssa.201100710	WOS:000303386900021
10.1002/pssa.201100733	WOS:000303386900015
10.1002/pssc.200303417	WOS:000189401700101
10.1002/pssc.200303493	WOS:000189401700095
10.1002/pssc.200405440	WOS:000227060600013
10.1002/pssc.201100282	WOS:000301540900019
10.1002/qj.49712354312	WOS:A1997YC80000011
10.1002/syn.21542	WOS:000302293300009
10.1006/abio.2000.4982	WOS:000167637300004
10.1006/abio.2001.5183	WOS:000170500300001
10.1006/aphy.2002.6244	WOS:000175517500002
10.1006/bbrc.2001.4730	WOS:000168434800010
10.1006/bbrc.2001.5206	WOS:000170020900046
10.1006/brln.2000.2476	WOS:000171069500004
10.1006/cviu.2002.0970	WOS:000179265800003
10.1006/exnr.2000.7456	WOS:000167202400001
10.1006/jcat.2001.3428	WOS:000173691900015
10.1006/jcis.2001.7486	WOS:000169533100015
10.1006/jmbi.2000.4245	WOS:000165877700007
10.1006/jsbi.2000.4350	WOS:000170142000011
10.1006/mben.2001.0198	WOS:000173717100006
10.1006/mben.2002.0233	WOS:000180244200004
10.1006/nimg.2000.0643	WOS:000165562300009
10.1006/nimg.2000.0688	WOS:000166729100003
10.1006/nimg.2000.0714	WOS:000167628500012
10.1006/nimg.2000.0715	WOS:000167628500013
10.1006/nimg.2001.0747	WOS:000168497400010
10.1006/nimg.2001.0789	WOS:000169498000017
10.1006/nimg.2001.0817	WOS:000169570700008
10.1006/nimg.2001.0819	WOS:000169570700010
10.1006/nimg.2001.0823	WOS:000169570700003
10.1006/nimg.2001.0836	WOS:000169570700019
10.1006/nimg.2001.0841	WOS:000169570700017
10.1006/nimg.2001.0858	WOS:000170722700008
10.1006/nimg.2001.0867	WOS:000170722700002
10.1006/nimg.2001.0885	WOS:000171329800012
10.1006/nimg.2001.0929	WOS:000173692500005
10.1006/nimg.2001.0942	WOS:000172524500024
10.1006/nimg.2002.0919	WOS:000178642000023
10.1006/nimg.2002.1065	WOS:000176624700012
10.1006/nimg.2002.1178	WOS:000178102000010
10.1007/2882_046	WOS:000239895200018
10.1007/BF01305876	WOS:A1994NU86000002
10.1007/BF02375965	WOS:000187528200005
10.1007/BF02375983	WOS:000187528200023
10.1007/BF02377765	WOS:000208029000019
10.1007/BF02377999	WOS:000226183700010
10.1007/BF02410299	WOS:000222256900003
10.1007/BF02703024	WOS:000236375500004
10.1007/BF02703028	WOS:000236375500008
10.1007/BF02704047	WOS:000223058600005
10.1007/BF02704048	WOS:000223058600006
10.1007/BF02704783	WOS:000237464300007
10.1007/BF02704784	WOS:000237464300008
10.1007/BF02704785	WOS:000237464300009
10.1007/BF02704786	WOS:000237464300010
10.1007/BF02704787	WOS:000237464300011
10.1007/BF02704793	WOS:000237464300017
10.1007/BF02979710	WOS:000220529800006
10.1007/PL00014595	WOS:000166297000006
10.1007/s00018-010-0350-6	WOS:000279025400010
10.1007/s00066-011-0060-5	WOS:000301776900005
10.1007/s00115-009-2826-x	WOS:000273808700005
10.1007/s00115-010-3105-6	WOS:000285441400004
10.1007/s00122-009-1074-6	WOS:000272803700004
10.1007/s00203-001-0393-z	WOS:000174856500005
10.1007/s002100000357	WOS:000167179300015
10.1007/s002160000578	WOS:000165641100011
10.1007/s002160000640	WOS:000167273300025
10.1007/s00216-001-1185-7	WOS:000179404400002
10.1007/s002160100745	WOS:000169547300003
10.1007/s002160100873	WOS:000170115200014
10.1007/s00216-010-3532-z	WOS:000280552300031
10.1007/s00216-011-5435-z	WOS:000303409600004
10.1007/s00221-001-0895-6	WOS:000174698500001
10.1007/s00221-001-0933-4	WOS:000173172800015
10.1007/s002210100877	WOS:000172507200009
10.1007/s00253-002-0987-7	WOS:000177245900011
10.1007/s00253-002-1161-y	WOS:000180027700010
10.1007/s00253-002-1180-8	WOS:000182702800004
10.1007/s00253-009-1912-0	WOS:000264460500020
10.1007/s00253-011-3626-3	WOS:000300310100009
10.1007/s00253-012-4060-x	WOS:000304158800002
10.1007/s00259-002-1112-y	WOS:000183421600012
10.1007/s00259-003-1118-0	WOS:000182732200005
10.1007/s00259-003-1273-3	WOS:000185896900020
10.1007/s00259-006-0175-6	WOS:000242426500007
10.1007/s00259-009-1219-5	WOS:000272615700011
10.1007/s002590100628	WOS:000172948300001
10.1007/s00289-002-0021-3	WOS:000175608800011
10.1007/s00339-002-1500-y	WOS:000184296000037
10.1007/s00339-004-3096-x	WOS:000228794000005
10.1007/s003390101056	WOS:000175356400008
10.1007/s003390101059	WOS:000175356400011
10.1007/s003390101097	WOS:000181499600104
10.1007/s003390101099	WOS:000181499600114
10.1007/s003390101102	WOS:000181499600118
10.1007/s003390101103	WOS:000181499600125
10.1007/s003390101108	WOS:000181499600145
10.1007/s00339-012-7028-x	WOS:000307255100002
10.1007/s003390201517	WOS:000181499600131
10.1007/s003390201524	WOS:000181499600170
10.1007/s003390201525	WOS:000181499600171
10.1007/s003390201536	WOS:000181499600043
10.1007/s003390201547	WOS:000181499600121
10.1007/s003390201550	WOS:000181499600129
10.1007/s003390201553	WOS:000181219600079
10.1007/s003390201643	WOS:000181499600136
10.1007/s003390201781	WOS:000181499600178
10.1007/s003390201858	WOS:000181499600202
10.1007/s00340-008-3095-2	WOS:000258703600012
10.1007/s003740100385	WOS:000170522200007
10.1007/s00381-002-0644-6	WOS:000177891800011
10.1007/s00396-002-0674-3	WOS:000177725500006
10.1007/s003960100521	WOS:000171243100001
10.1007/s003960100589	WOS:000174544700005
10.1007/s00406-009-0010-8	WOS:000271531000003
10.1007/s00406-009-0064-7	WOS:000271307000007
10.1007/s00406-011-0267-6	WOS:000304815300007
10.1007/s00415-009-5146-y	WOS:000269384000026
10.1007/s00415-010-5597-1	WOS:000282700300011
10.1007/s00422-003-0425-7	WOS:000185256200001
10.1007/s00422-007-0196-7	WOS:000252160000006
10.1007/s004250000447	WOS:000168399700023
10.1007/s00425-003-1041-4	WOS:000185674000012
10.1007/s004290000127	WOS:000165641200001
10.1007/s004290000135	WOS:000166251900005
10.1007/s004290100199	WOS:000171819400007
10.1007/s004290100200	WOS:000171819400008
10.1007/s00429-011-0333-x	WOS:000302572800010
10.1007/s00429-012-0380-y	WOS:000308964300002
10.1007/s00449-002-0279-8	WOS:000176780300003
10.1007/s00449-002-0280-2	WOS:000175804200006
10.1007/s004490100232	WOS:000173904700004
10.1007/s00449-010-0410-1	WOS:000280892700010
10.1007/s00468-010-0421-1	WOS:000277645700001
10.1007/s006010200012	WOS:000176115900012
10.1007/s00604-004-0267-6	WOS:000226002000016
10.1007/s00702-010-0404-9	WOS:000278286900013
10.1007/s00894-012-1404-5	WOS:000308114000006
10.1007/s10008-007-0343-z	WOS:000253682900003
10.1007/s10008-011-1313-z	WOS:000298651700035
10.1007/s10010-003-0125-4	WOS:000223372400003
10.1007/s10050-002-8759-4	WOS:000175495400006
10.1007/s100500070048	WOS:000165443600002
10.1007/s100500170047	WOS:000172358100001
10.1007/s100500170058	WOS:000172358100012
10.1007/s100500170085	WOS:000170604800010
10.1007/s100500170089	WOS:000170336000001
10.1007/s100510170094	WOS:000171659800005
10.1007/s100510170293	WOS:000168069200001
10.1007/s10052-002-0975-1	WOS:000178283900009
10.1007/s100520100570	WOS:000167528400012
10.1007/s100520200891	WOS:000175471000013
10.1007/s100530170051	WOS:000172039400005
10.1007/s10108-008-9040-z	WOS:000260666800004
10.1007/s10189-001-8041-9	WOS:000173840600001
